,sequence
0,"[707. 707. 707. 707. 707. 512. 316. 316. 316. 316. 707. 316. 512. 316.
 316. 316. 512. 512.]"
1,"[512. 512. 316. 512. 316. 316. 512. 707. 512. 512. 512. 707. 707. 512.
 707. 316. 707. 512.]"
2,"[707. 512. 707. 512. 707. 512. 707. 512. 316. 512. 316. 707. 316. 512.
 512. 707. 316. 512.]"
3,"[512. 707. 707. 707. 512. 512. 316. 316. 316. 316. 316. 512. 707. 316.
 316. 316. 707. 512.]"
4,"[707. 316. 316. 512. 316. 316. 707. 707. 707. 512. 512. 707. 707. 707.
 512. 316. 707. 512.]"
5,"[512. 707. 707. 512. 707. 512. 707. 512. 316. 707. 316. 707. 316. 512.
 512. 707. 316. 512.]"
6,"[707. 707. 512. 707. 316. 707. 316. 316. 512. 316. 512. 316. 707. 316.
 512. 316. 707. 512.]"
7,"[512. 316. 512. 316. 316. 316. 707. 707. 512. 512. 707. 707. 707. 707.
 512. 707. 512. 512.]"
8,"[512. 707. 707. 707. 707. 707. 512. 512. 316. 707. 316. 512. 316. 316.
 512. 707. 316. 512.]"
9,"[316. 512. 316. 512. 316. 316. 316. 512. 512. 512. 707. 316. 707. 512.
 512. 316. 707. 707.]"
10,"[316. 316. 512. 316. 512. 316. 707. 707. 512. 707. 707. 707. 316. 512.
 512. 707. 316. 512.]"
11,"[316. 707. 707. 707. 707. 512. 512. 316. 316. 707. 316. 316. 316. 316.
 707. 707. 316. 707.]"
12,"[316. 512. 316. 707. 316. 316. 316. 512. 512. 316. 707. 316. 707. 316.
 512. 316. 707. 707.]"
13,"[512. 512. 707. 316. 707. 316. 707. 707. 512. 707. 512. 707. 316. 512.
 512. 707. 316. 512.]"
14,"[707. 707. 707. 707. 512. 512. 316. 316. 316. 316. 512. 316. 512. 316.
 316. 316. 512. 512.]"
15,"[512. 512. 316. 512. 316. 316. 512. 707. 512. 512. 707. 707. 707. 512.
 512. 316. 707. 512.]"
16,"[707. 512. 707. 512. 707. 707. 707. 512. 316. 512. 316. 707. 316. 512.
 512. 707. 316. 512.]"
17,"[707. 707. 316. 707. 316. 707. 316. 316. 316. 316. 316. 316. 707. 316.
 512. 316. 707. 512.]"
18,"[512. 316. 512. 316. 316. 316. 707. 707. 512. 512. 512. 707. 512. 707.
 512. 707. 316. 512.]"
19,"[512. 707. 707. 707. 707. 512. 512. 316. 316. 512. 512. 316. 316. 316.
 512. 512. 316. 707.]"
